Index,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.x,Head.rot.y,Head.rot.z,Head.rot.w,LeftHand.pos.x,LeftHand.pos.y,LeftHand.pos.z,LeftHand.rot.x,LeftHand.rot.y,LeftHand.rot.z,LeftHand.rot.w,RightHand.pos.x,RightHand.pos.y,RightHand.pos.z,RightHand.rot.x,RightHand.rot.y,RightHand.rot.z,RightHand.rot.w,
0.17990,0.03385,1.47106,0.43740,-0.19929,-0.28088,0.09503,-0.93400,-0.18106,1.15149,0.57779,0.39726,-0.15717,0.09000,-0.89966,0.10338,1.07731,0.55465,0.22256,0.15509,-0.12797,-0.95396
0.18557,0.03417,1.47100,0.43745,-0.19935,-0.28066,0.09526,-0.93403,-0.18084,1.14255,0.58002,0.38246,-0.15790,0.08890,-0.90603,0.10266,1.08502,0.55462,0.23584,0.15421,-0.12989,-0.95065
0.19163,0.03453,1.47094,0.43751,-0.19941,-0.28045,0.09550,-0.93406,-0.18040,1.13174,0.58222,0.36513,-0.15899,0.08801,-0.91305,0.10234,1.09394,0.55405,0.25138,0.15286,-0.13103,-0.94672
0.19770,0.03487,1.47088,0.43757,-0.19948,-0.28025,0.09572,-0.93408,-0.18044,1.12146,0.58390,0.34746,-0.15937,0.08672,-0.91997,0.10176,1.10237,0.55365,0.26583,0.15120,-0.13175,-0.94293
0.20311,0.03520,1.47083,0.43762,-0.19950,-0.28006,0.09591,-0.93412,-0.18030,1.11178,0.58531,0.33166,-0.16038,0.08653,-0.92563,0.10121,1.10986,0.55322,0.27880,0.14978,-0.13267,-0.93927
0.20989,0.03556,1.47075,0.43759,-0.19952,-0.27982,0.09612,-0.93416,-0.17997,1.10044,0.58700,0.31355,-0.16151,0.08594,-0.93178,0.10082,1.11849,0.55230,0.29392,0.14811,-0.13359,-0.93479
0.21783,0.03610,1.47065,0.43768,-0.19960,-0.27945,0.09641,-0.93422,-0.18050,1.08448,0.58884,0.28769,-0.16252,0.08604,-0.93990,0.10025,1.12984,0.55124,0.31339,0.14530,-0.13290,-0.92899
0.22404,0.03647,1.47058,0.43774,-0.19963,-0.27915,0.09658,-0.93429,-0.18057,1.07289,0.58973,0.26932,-0.16324,0.08604,-0.94521,0.10032,1.13783,0.55028,0.32743,0.14357,-0.13210,-0.92451
0.22894,0.03675,1.47053,0.43778,-0.19968,-0.27890,0.09673,-0.93434,-0.18064,1.06374,0.59047,0.25501,-0.16371,0.08564,-0.94912,0.09995,1.14418,0.54949,0.33864,0.14218,-0.13228,-0.92066
0.23450,0.03709,1.47048,0.43784,-0.19974,-0.27860,0.09688,-0.93440,-0.18083,1.05381,0.59110,0.23940,-0.16381,0.08523,-0.95320,0.09971,1.15056,0.54852,0.35014,0.14072,-0.13081,-0.91678
